"ID","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","Error.in.coefficient","Error.in.standard.error","Error.in.t.value...z.value","Error.in.p.value","Error.in.eye.catcher","There.is.no.reporting.error","I.don.t.know","Error.occurred.while.transferring.results.from.statistical.software.to.Word..Latex.etc.","Error.occurred.while.updating.tables.during.the.research...review.process","Error.occured.in.typesetting.by.the.publisher.and.remained.undetected.in.proofreading","Reporting.error.is.falsely.diagnosed.due.to.low.degrees.of.freedom.of.the.corresponding.test..algorithm.to.detect.reporting.errors.relies.on.critical.values.of.the.standard.normal.distribution.","I.don.t.know.1","Other.reason","error_id","paper_id","our_comment"
1,0.046,0.017,NA,2.6,2.818182,"two sided","0.004830 < p < 0.009322","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.79r0_2_8_0.75_0.25","9r8.4000000000000107","author: low df"
2,2.092,0.685,NA,3.051058,3.056976,"two sided","0.002236 < p < 0.002280","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"3.1519r0_2_8_1.25_0.25","9r8.4000000000000107","author: low df"
3,-0.119,0.045,NA,2.604396,2.685393,"two sided","0.007244 < p < 0.009204","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"2.7049r0_2_9_0.75_0.5","9r8.4000000000000107","author: low df"
1,0.755,0.312,NA,2.4144,2.425361,"two sided","0.015293 < p < 0.015761","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,"2.5144g1_1_6_1.5_0.25","4g1.511",NA
9,-0.58,0.34,NA,1.666667,1.746269,"two sided","0.080764 < p < 0.095581","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"1.76710n3_1_A_2_2.25_0.75","10n8.09999999999999311","low df"
10,-42.55,20.18,NA,2.107753,2.109294,"two sided","0.034919 < p < 0.035052","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.20810n3_1_A_3_2.5_1.75","10n8.09999999999999311","low df"
11,-10.87,4.06,NA,2.672817,2.681874,"two sided","0.007321 < p < 0.007522","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.77310n3_1_A_3_1.25_0.25","10n8.09999999999999311","low df"
12,-16.51,5.32,NA,3.099531,3.107244,"two sided","0.001888 < p < 0.001938","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3.210n3_1_A_3_1.5_1.75","10n8.09999999999999311","low df"
13,-25.53,12.55,NA,2.033055,2.035472,"two sided","0.041803 < p < 0.042047","0.1 < p < 1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.13310n3_1_A_3_2.25_1.75","10n8.09999999999999311","low df"
1,0.017,0.005,NA,3,3.888889,"two sided","0.000101 < p < 0.002700","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3.110n1_3_2_B_0.25_0.75","10n1.3113","low df"
2,0.032,0.007,NA,4.2,5,"two sided","0.000001 < p < 0.000027","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"4.310n1_3_2_B_0.25_1","10n1.3113","low df"
3,0.021,0.007,NA,2.733333,3.307692,"two sided","0.000941 < p < 0.006270","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.83310n1_3_2_B_0.25_1.25","10n1.3113","low df"
4,0.022,0.007,NA,2.866667,3.461538,"two sided","0.000537 < p < 0.004148","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.96710n1_3_3_0.25_0.5","10n1.3113","low df"
5,-0.375,0.144,NA,2.591696,2.616725,"two sided","0.008878 < p < 0.009550","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.69210n1_3_4_1.25_0.25","10n1.3113","low df"
6,-0.203,0.046,NA,4.354839,4.472527,"two sided","0.000008 < p < 0.000013","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"4.45510n1_3_4_1.25_0.75","10n1.3113","low df"
7,-0.251,0.123,NA,2.02834,2.053061,"two sided","0.040067 < p < 0.042526","0.05 < p < 0.1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2.12810n1_3_4_1.5_0.25","10n1.3113","low df"
8,0.183,0.048,NA,3.762887,3.863158,"two sided","0.000112 < p < 0.000168","0.01 < p < 0.05",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"3.86310n1_3_4_1.75_0.75","10n1.3113","low df"
1,0.43,0.27,NA,1.545455,1.641509,"two sided","0.100692 < p < 0.122236","0.05 < p < 0.1",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"1.6453i1_1_17_0.25_1","3i9.3111",NA
2,0.059,0.05,NA,1.063636,1.322222,"two sided","0.186094 < p < 0.287493","0 < p < 0.05",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"1.1643i1_1_3_0.5_0.5","3i9.3111",NA
3,0.03,0.07,NA,0.393333,0.469231,"two sided","0.638905 < p < 0.694073","0.05 < p < 0.1",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"0.4933i1_1_3_0.5_1","3i9.3111",NA
1,-1.47,0.77,NA,1.890323,1.928105,"two sided","0.053842 < p < 0.058715","0 < p < 0.05",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,"1.997i2_3_5_2.75_1.5","7i7.3213",NA
